dia,tarifario,opcao,intervalo,col,omie,tar,omieTar
07/05/2026,Alfa Power Index BTN,Simples,[00:00-00:15[,0.23146,0.11817,0.06070,0.19529
07/05/2026,Alfa Power Index BTN,Simples,[00:15-00:30[,0.22903,0.11650,0.06070,0.19293
07/05/2026,Alfa Power Index BTN,Simples,[00:30-00:45[,0.22808,0.11602,0.06070,0.19204
07/05/2026,Alfa Power Index BTN,Simples,[00:45-01:00[,0.22698,0.11530,0.06070,0.19099
07/05/2026,Alfa Power Index BTN,Simples,[01:00-01:15[,0.22584,0.11448,0.06070,0.18988
07/05/2026,Alfa Power Index BTN,Simples,[01:15-01:30[,0.22471,0.11363,0.06070,0.18878
07/05/2026,Alfa Power Index BTN,Simples,[01:30-01:45[,0.22527,0.11423,0.06070,0.18936
07/05/2026,Alfa Power Index BTN,Simples,[01:45-02:00[,0.22381,0.11302,0.06070,0.18792
07/05/2026,Alfa Power Index BTN,Simples,[02:00-02:15[,0.22143,0.11118,0.06070,0.18558
07/05/2026,Alfa Power Index BTN,Simples,[02:15-02:30[,0.21856,0.10868,0.06070,0.18272
07/05/2026,Alfa Power Index BTN,Simples,[02:30-02:45[,0.21662,0.10700,0.06070,0.18079
07/05/2026,Alfa Power Index BTN,Simples,[02:45-03:00[,0.21792,0.10820,0.06070,0.18210
07/05/2026,Alfa Power Index BTN,Simples,[03:00-03:15[,0.21627,0.10676,0.06070,0.18045
07/05/2026,Alfa Power Index BTN,Simples,[03:15-03:30[,0.21651,0.10700,0.06070,0.18070
07/05/2026,Alfa Power Index BTN,Simples,[03:30-03:45[,0.21842,0.10872,0.06070,0.18261
07/05/2026,Alfa Power Index BTN,Simples,[03:45-04:00[,0.21983,0.11000,0.06070,0.18403
07/05/2026,Alfa Power Index BTN,Simples,[04:00-04:15[,0.22184,0.11180,0.06070,0.18604
07/05/2026,Alfa Power Index BTN,Simples,[04:15-04:30[,0.22456,0.11423,0.06070,0.18876
07/05/2026,Alfa Power Index BTN,Simples,[04:30-04:45[,0.22604,0.11554,0.06070,0.19023
07/05/2026,Alfa Power Index BTN,Simples,[04:45-05:00[,0.22852,0.11775,0.06070,0.19271
07/05/2026,Alfa Power Index BTN,Simples,[05:00-05:15[,0.22809,0.11735,0.06070,0.19228
07/05/2026,Alfa Power Index BTN,Simples,[05:15-05:30[,0.23093,0.11986,0.06070,0.19512
07/05/2026,Alfa Power Index BTN,Simples,[05:30-05:45[,0.23827,0.12635,0.06070,0.20245
07/05/2026,Alfa Power Index BTN,Simples,[05:45-06:00[,0.24305,0.13054,0.06070,0.20722
07/05/2026,Alfa Power Index BTN,Simples,[06:00-06:15[,0.24952,0.13585,0.06070,0.21362
07/05/2026,Alfa Power Index BTN,Simples,[06:15-06:30[,0.24995,0.13585,0.06070,0.21400
07/05/2026,Alfa Power Index BTN,Simples,[06:30-06:45[,0.25030,0.13585,0.06070,0.21430
07/05/2026,Alfa Power Index BTN,Simples,[06:45-07:00[,0.24464,0.13061,0.06070,0.20860
07/05/2026,Alfa Power Index BTN,Simples,[07:00-07:15[,0.24180,0.12802,0.06070,0.20575
07/05/2026,Alfa Power Index BTN,Simples,[07:15-07:30[,0.23310,0.12001,0.06070,0.19699
07/05/2026,Alfa Power Index BTN,Simples,[07:30-07:45[,0.22844,0.11554,0.06070,0.19227
07/05/2026,Alfa Power Index BTN,Simples,[07:45-08:00[,0.22275,0.11020,0.06070,0.18651
07/05/2026,Alfa Power Index BTN,Simples,[08:00-08:15[,0.22676,0.11336,0.06070,0.19046
07/05/2026,Alfa Power Index BTN,Simples,[08:15-08:30[,0.20631,0.09525,0.06070,0.16996
07/05/2026,Alfa Power Index BTN,Simples,[08:30-08:45[,0.18705,0.07830,0.06070,0.15066
