dia,hora,intervalo,Hídrica,Eólica,Solar,Biomassa,Ondas,Gás Natural - Ciclo Combinado,Gás natural - Cogeração,Carvão,Outra Térmica,Importação,Exportação,Bombagem,Injeção de Baterias,Consumo Baterias,Consumo
01/01/2013,00:15,[00:00-00:15[,1759.4,1012.5,0.0,308.8,0.0,0.0,453.4,911.6,49.6,397.6,0.0,0.0,0.0,0.0,4875.9
01/01/2013,00:30,[00:15-00:30[,1591.9,1042.2,0.0,312.3,0.0,0.0,427.9,926.8,41.8,501.1,0.0,0.0,0.0,0.0,4827.1
01/01/2013,00:45,[00:30-00:45[,1574.8,1043.4,0.0,302.6,0.0,0.0,424.3,925.2,37.3,502.7,0.0,0.0,0.0,0.0,4794.8
01/01/2013,01:00,[00:45-01:00[,1561.4,1026.0,0.0,306.4,0.0,0.0,421.6,920.0,39.3,559.4,0.0,58.6,0.0,0.0,4756.0
01/01/2013,01:15,[01:00-01:15[,1224.0,1034.6,0.0,313.5,0.0,0.0,422.3,923.2,41.0,937.5,0.0,154.5,0.0,0.0,4716.2
01/01/2013,01:30,[01:15-01:30[,1156.4,1092.7,0.0,316.7,0.0,0.0,422.1,921.2,38.5,980.3,0.0,230.6,0.0,0.0,4675.2
01/01/2013,01:45,[01:30-01:45[,1112.7,1092.6,0.0,313.8,0.0,0.0,422.2,921.2,39.5,975.1,0.0,230.5,0.0,0.0,4622.2
01/01/2013,02:00,[01:45-02:00[,1096.9,1134.5,0.0,308.3,0.0,0.0,422.2,916.0,38.9,1020.3,0.0,348.7,0.0,0.0,4564.1
01/01/2013,02:15,[02:00-02:15[,860.9,1148.0,0.0,305.1,0.0,0.0,422.1,920.8,40.8,1279.5,0.0,460.6,0.0,0.0,4494.6
01/01/2013,02:30,[02:15-02:30[,803.0,1105.9,0.0,311.3,0.0,0.0,422.3,920.4,41.2,1305.5,0.0,460.8,0.0,0.0,4428.6
01/01/2013,02:45,[02:30-02:45[,768.9,1065.3,0.0,312.1,0.0,0.0,422.8,920.8,40.9,1293.4,0.0,460.6,0.0,0.0,4342.6
01/01/2013,03:00,[02:45-03:00[,770.0,1023.4,0.0,311.9,0.0,0.0,423.5,918.8,40.6,1263.4,0.0,460.7,0.0,0.0,4269.3
01/01/2013,03:15,[03:00-03:15[,957.3,1010.2,0.0,313.3,0.0,0.0,424.4,921.2,41.1,1014.3,0.0,460.8,0.0,0.0,4199.8
01/01/2013,03:30,[03:15-03:30[,953.1,973.0,0.0,317.6,0.0,0.0,424.9,920.0,42.2,979.4,0.0,460.5,0.0,0.0,4130.0
01/01/2013,03:45,[03:30-03:45[,941.7,926.1,0.0,319.4,0.0,0.0,425.3,919.6,41.8,980.1,0.0,460.5,0.0,0.0,4071.3
01/01/2013,04:00,[03:45-04:00[,934.1,889.5,0.0,319.2,0.0,0.0,425.7,919.6,41.6,962.5,0.0,460.4,0.0,0.0,4010.0
01/01/2013,04:15,[04:00-04:15[,1056.2,872.2,0.0,320.1,0.0,0.0,426.0,919.6,42.1,815.5,0.0,460.3,0.0,0.0,3970.1
01/01/2013,04:30,[04:15-04:30[,1052.1,876.8,0.0,316.1,0.0,0.0,426.1,919.6,41.7,779.0,0.0,460.4,0.0,0.0,3930.9
01/01/2013,04:45,[04:30-04:45[,990.3,904.7,0.0,309.7,0.0,0.0,428.0,920.0,40.5,780.1,0.0,460.4,0.0,0.0,3891.4
01/01/2013,05:00,[04:45-05:00[,936.1,921.0,0.0,315.6,0.0,0.0,426.1,921.2,39.9,779.3,0.0,460.0,0.0,0.0,3857.9
01/01/2013,05:15,[05:00-05:15[,948.5,923.3,0.0,317.0,0.0,0.0,425.1,921.6,41.5,845.3,0.0,556.0,0.0,0.0,3840.4
01/01/2013,05:30,[05:15-05:30[,1091.7,921.6,0.0,315.2,0.0,0.0,424.9,919.6,41.6,848.0,0.0,722.8,0.0,0.0,3814.5
01/01/2013,05:45,[05:30-05:45[,1069.3,925.9,0.0,315.7,0.0,0.0,424.8,919.6,41.4,844.3,0.0,734.6,0.0,0.0,3780.0
01/01/2013,06:00,[05:45-06:00[,1011.7,956.5,0.0,318.2,0.0,0.0,425.1,920.4,40.8,845.0,0.0,734.0,0.0,0.0,3759.2
01/01/2013,06:15,[06:00-06:15[,989.6,927.3,0.0,321.2,0.0,0.0,425.4,920.8,41.2,890.3,0.0,734.4,0.0,0.0,3758.7
01/01/2013,06:30,[06:15-06:30[,953.5,963.3,0.0,323.4,0.0,0.0,425.8,919.6,42.4,883.1,0.0,734.2,0.0,0.0,3752.7
